ELSŐ RÉSZ	PHẦN THỨ NHẤT
A Central Bank kirablása	Vụ Án Ngân Hàng Trung Ương
Minden bizonnyal ez alkalommal sem untatjuk az olvasót, ha - bár nem kimerítő részletességgel, de a lehető leg­pon­tosabban - felelevenítjük a történteket.	Không có mấy trọng tội khêu gợi được lòng tò mò của dân chúng như cuộc tấn công ăn cướp táo bạo, nổi tiếng dưới cái tên "Vụ cướp Ngân hàng Trung ương".
Amint köztudomású, a rablás színhelye a Central Banknak ama DK-fiókja volt, amely a londoni börze közelében a Threadneedle Street és az Old Broad Street sarkán van, és amelyet akkor Lewis Robert Buxton, a hasonló nevű lord fia vezetett.	Vụ án đã xảy ra ở chi nhánh DK thuộc Ngân hàng Trung ương, cạnh thị trường chứng khoán Luân Đôn, mà bấy giờ ông Lewis Robert Buxton đang phụ trách.
A két utca találkozási pontján, üveges ajtón át lehet belépni, amely mintegy levágja az épület sarkát, és amely elé dupla biztonsági redőnyt szereltek.	Bên trái cửa vào, sau chấn song sắt là nơi nhận phát tiền, ăn thông với gian làm việc của nhân viên bằng một cửa lớn ngay ngoài chấn song.
Ennek egyik kiszögellésében áll a házfelügyelő fülkéje, előtte a kijárat, amely a Threadneedle Streetre vezet.	Bên phải, cuối chiếc bàn gỗ sồi là cánh cửa tự khép, cho phép đi từ khu khách đợi vào gian làm việc của các nhân viên.
Ez hát a helyszín, ahol a dráma fő jelenetei lezajlottak.	Sâu bên trong nữa là văn phòng của giám đốc chi nhánh.
Amint említettük, a fiók ingaórája háromnegyed öt előtt öt percet mutatott.	Một bên, tiền sảnh đi ngang qua trước mặt người gác cửa.
Kívülről, a novembervégi alkonyatban már elhomályosuló nagy kirakatüvege­ken át behallatszott a szekerek zörgése és a sokaság moraja.	Bên kia, ở chỗ cầu thang chính, nó tiếp giáp với cửa ra vào có hai cánh bằng kính, chắn lối xuống tầng hầm và lên cầu thang phụ.
Tehát éppen a fent jelzett pillanatban kinyílt az ajtó, s egy férfi lépett be rajta.	Khung cảnh nơi xảy ra tấn thảm kịch bí ẩn đó là thế.
Napsütötte arcát csodás körszakáll keretezte.	Viên thủ quỹ ngồi đếm tiền sau song sắt.
Ruházatáról nem lehetett megítélni társadalmi helyzetét, mert termetét bokáig érő nyersselyem köpeny borította.	Tổng số tiền mặt thu được trong ngày hôm ấy rất lớn: 72.079 bảng, 2 silinh và 4 penxơ.
Egy harmadik személy jelent meg, és oda­ment a három közül utolsónak maradt ügyfél háta mögé.	Ngón tay cái, ngón tay trỏ và ngón tay giữa của hắn diễn tả rõ ràng con số 3.
Végül, amikor az eredetileg bent tartózkodó ügyfelek közül az utolsó is elintézte a dolgát, és elhagyta a helyiséget, az ajtó ismét felpattant, s két férfi lépett be rajta szinte egyszerre.	Sau khi ra hiệu, hắn đóng cửa lại rồi bước vào giữa văn phòng và xếp hàng sau một người khách, tỏ ý chờ người nọ làm xong việc và ra về.
De az egész művelet alig tartott pár pillanatot.	Một trong hai nhân viên rỗi việc đứng lên hỏi:
Aztán az ajtót gyorsan becsukta.	— Ngài cần gì, thưa ngài?
De akkor már csak kilépni lehetett, bejönni nem, mert a külső kilincs eltűnt az ajtóról.	— Cám ơn ông – gã mới vào trả lời, – tôi đợi cũng được.
Kívülről tehát senki sem léphetett be a helyiségbe.	Anh nhân viên ngồi xuống, tiếp tục công việc của mình.
A tisztviselők még csak nem is sejtették, hogy el vannak szigetelve a világtól.	Gã đàn ông chờ đợi và không ai chú ý đến hắn cả.
A tisztviselők később azt állították, hogy erről semmit sem tudnak, és vallomásukban nincs okunk kételkedni.	Căn cứ vào chiều rộng của đôi vai thì biết hắn có sức mạnh phi thường.
A későbbi vizsgálat e téren csak feltételezésekre szorítkozhatott, és ma sem tudunk semmi bizonyosat a zárt ajtó mögött lejátszódott jelenetről.	Bộ râu màu vàng tuyệt mỹ viền quanh khuôn mặt ngăm ngăm đen, không thể đoán ra địa vị xã hội của hắn vì chiếc áo khoác dài đã che lấp hết quần áo.
Személytelen hangon, s anélkül hogy a tisztviselők közül bármelyikhez is fordult volna, hűvös nyugalommal így szólt:	Khi một khách hàng xong việc, gã mặc áo khoác dài đứng vào chỗ của ông ta và bắt đầu nói chuyện với nhân viên.
- Kérem... az igazgató úr közölni óhajt valamit a pénztárnokkal.	Lúc ấy ông khách kia đã mở cửa bước ra khỏi chi nhánh.
De arra már nem volt ideje, hogy a rejtélyt megfejtse.	Nhân vật thứ hai hành động y như kẻ giống gã.
Az ulsteres támadónak még arra is volt ideje, hogy megtörölje a homlokát, amelyen itt-ott kiserkedt egy-két verejtékcsepp; aztán az áldozata fölé hajolt.	Rồi sau khi đến lượt, hắn bắt chuyện với nhân viên rỗi việc, lúc đó người khách hàng kia đã bước ra phố.
Kielégítette, amit látott, és elköhintette magát, hogy a teremben időző négy különös ügyfelet figyelmeztesse; aztán kivágta az ajtót, amely mögött addig rejtőzött.	Người thứ ba bước vào, đứng xếp hàng sau ba người khách đầu, hắn cao trung bình, vai rộng và vạm vỡ, mặt đỏ và bộ râu đen.
A dráma talán mindössze harminc másodpercig tartott.	Hắn vừa khác lại vừa giống hai tên vào trước.
Mikor mind a négy áldozat elvesztette az eszméletét, fojtogatóik tovább szorgoskodtak, hogy véglegesen harcképtelenné tegyék őket.	Cuối cùng, khi người khách sau cùng trong số ba vị khách còn lưu lại trong chi nhánh xong việc và rời chỗ thì cửa mở ra cho hai người cùng vào.
És minden hibátlanul, a legkisebb tétovázás nélkül zajlott le.	Bộ râu rậm điểm tô cho khuôn mặt đỏ của họ.
Mintegy jeladásra, mit sem törődve azzal, hogy az áldozatok esetleg meg is fulladhatnak, vattával betömték a szájukat, és ráadásul meg is kötözték őket.	Họ tiến vào cũng không bình thường: người cao hơn đi trước và vừa mới bước qua khỏi cửa, hắn đã dừng lại để che cho đồng bọn của hắn.
- vezényelt az, aki a fiók vezetőjével "tárgyalt", és aki úgy tűnt, a főnök kö­zöttük.	Ngoài ra, trên cửa còn xuất hiện một bản thông báo: Chi nhánh đã đóng cửa.
Nem ismerem meg a hangját...	Người sau bắt chuyện.
- Még nem - válaszolta a bandita némi habozás után.	Anh ta biến đi trong giây lát rồi trở lại ngay.
- Nagy összegről van szó?	— Xin mời ngài vào đi!
A pénztárosról egy pillanat alatt lefosztották a ruhát, s azt a banda főnöke magára öltötte, jóllehet az ő termetén kissé szűknek bizonyult Store öltönye.	Về sau các nhân viên của chi nhánh quả quyết rằng họ không hay biết gì về màn kịch diễn ra bên trong cánh cửa đã đóng kín đó.
Indíts az íróasztalokhoz, s a szemet kinyitni.	Hắn nói bằng giọng hoàn toàn bình tĩnh:
Azután zárjátok be az ajtót, s csak nekem nyissátok ki!...	— Vâng, thưa ông – một nhân viên rỗi việc đáp.
A főnök határozott mozdulattal kinyitotta az ajtót.	Anh ta quay lại gọi to: – Store, giám đốc gọi anh.
A sűrűsödő szürkületben fénylettek a lámpái.	— Tôi đi ngay đây – viên thủ quỹ trả lời.
- Most lássunk a magunk dolga után, barátom - mondta Store "helyettesítője" a kocsisnak.	Tên mặc áo măng tô lau mồ hôi trán rồi cúi xuống người nạn nhân.
Ily módon a lopás kockázatát a lehető legkisebbre csökkentették.	Xong việc, hắn hé cửa và liếc mắt vào gian lớn.
